customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaymentMethod,InternetService,TechSupport,OnlineSecurity,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
CUST-11890,Female,0,No,Yes,54,Two Year,Electronic check,DSL,Yes,No,No,75.73,4192.56,No
CUST-10626,Male,0,No,Yes,27,Month-To-Month,Electronic check,No,No internet service,No internet service,Yes,18.27,476.5,No
CUST-13238,Female,0,Yes,No,7,One Year,Electronic check,Fiber optic,Yes,Yes,Yes,77.07,521.09,No
CUST-12105,Female,1,No,No,10,Month-To-Month,Credit card,Fiber optic,No,No,No,60.58,588.13,Yes
CUST-10111,Male,0,Yes,Yes,10,One Year,Credit card,DSL,No,No,No,62.54,640.89,Yes
CUST-11865,Female,0,No,No,11,Month-To-Month,Electronic check,Fiber optic,No,No,No,95.15,1079.49,Yes
CUST-11011,Male,0,No,No,14,Month-To-Month,Mailed check,Fiber optic,No,Yes,Yes,90.36,1316.82,No
CUST-12753,Female,0,Yes,No,9,One Year,Mailed check,Fiber optic,No,Yes,Yes,66.86,626.88,No
CUST-11585,Female,0,Yes,No,24,Month-To-Month,Electronic check,DSL,Yes,Yes,No,42.83,1002.27,No
CUST-13780,Female,0,Yes,Yes,7,Two Year,Mailed check,DSL,No,No,No,85.07,573.92,No
CUST-10531,Female,0,No,No,23,Month-To-Month,Bank transfer,DSL,No,No,Yes,57.48,1298.78,No
CUST-10777,Female,0,Yes,No,10,One Year,Mailed check,DSL,No,No,Yes,60.94,597.86,Yes
CUST-13660,Female,0,Yes,No,1,Month-To-Month,Electronic check,No,No internet service,No internet service,No,33.37,34.88,No
CUST-14202,Female,0,Yes,Yes,58,One Year,Electronic check,No,No internet service,No internet service,No,29.18,1739.33,No
CUST-10057,Male,0,No,No,4,One Year,Mailed check,Fiber optic,Yes,No,No,96.27,401.51,Yes
CUST-11032,Male,0,No,No,14,Month-To-Month,Credit card,No,No internet service,No internet service,Yes,32.86,475.97,Yes
CUST-10529,Female,0,No,Yes,29,Month-To-Month,Credit card,No,No internet service,No internet service,Yes,32.81,922.53,No
CUST-13934,Male,0,No,No,9,Two Year,Mailed check,DSL,Yes,No,No,51.14,446.04,No
CUST-13890,Female,0,Yes,Yes,32,Two Year,Mailed check,DSL,Yes,No,Yes,60.45,1996.11,No
CUST-11621,Female,0,Yes,No,0,One Year,Electronic check,DSL,Yes,No,No,50.1,0.0,No
CUST-12834,Male,1,Yes,No,38,Month-To-Month,Bank transfer,Fiber optic,No,No,Yes,73.42,2682.67,No
CUST-14991,Male,0,Yes,Yes,8,Two Year,Credit card,DSL,No,Yes,No,56.45,445.47,No
CUST-10533,Male,0,Yes,Yes,7,Month-To-Month,Electronic check,DSL,Yes,No,No,75.08,520.35,Yes
CUST-12004,Female,0,Yes,Yes,10,Two Year,Mailed check,No,No internet service,No internet service,Yes,18.25,179.8,No
CUST-12829,Male,0,No,No,22,Month-To-Month,Electronic check,No,No internet service,No internet service,Yes,37.21,805.25,No
CUST-11884,Male,1,No,No,48,One Year,Mailed check,Fiber optic,No,No,No,61.79,2823.28,No
CUST-14158,Female,0,Yes,Yes,72,Two Year,Electronic check,DSL,No,No,Yes,48.43,3618.91,No
CUST-10023,Male,0,No,No,43,Month-To-Month,Bank transfer,DSL,No,No,Yes,73.04,3155.83,Yes
CUST-13541,Female,0,No,No,20,Month-To-Month,Electronic check,DSL,No,Yes,Yes,49.4,1029.9,No
CUST-11558,Male,1,Yes,No,3,One Year,Electronic check,No,No internet service,No internet service,Yes,32.89,94.29,No
CUST-11297,Male,0,No,No,52,Month-To-Month,Credit card,DSL,No,Yes,Yes,58.78,2915.97,No
CUST-10649,Male,0,Yes,No,25,One Year,Credit card,Fiber optic,No,No,No,74.95,1907.9,No
CUST-12337,Female,0,Yes,No,11,One Year,Electronic check,No,No internet service,No internet service,No,18.25,202.07,No
CUST-12174,Male,0,Yes,Yes,5,Month-To-Month,Electronic check,No,No internet service,No internet service,No,19.72,96.15,Yes
CUST-12794,Female,0,No,No,9,Month-To-Month,Credit card,No,No internet service,No internet service,No,37.83,352.58,No
CUST-11123,Male,1,No,No,16,Month-To-Month,Mailed check,DSL,No,No,No,67.29,1070.99,No
CUST-13693,Female,1,No,No,19,One Year,Credit card,DSL,No,Yes,Yes,52.2,1014.23,No
CUST-11790,Male,0,No,No,32,Two Year,Electronic check,No,No internet service,No internet service,Yes,33.95,1080.63,No
CUST-12364,Female,0,No,No,35,Month-To-Month,Credit card,DSL,No,No,Yes,49.2,1790.72,No
CUST-14695,Male,0,Yes,No,25,Month-To-Month,Mailed check,Fiber optic,No,No,No,104.89,2691.64,No
CUST-10818,Female,0,No,No,28,One Year,Electronic check,DSL,Yes,No,Yes,66.6,1840.27,No
CUST-10977,Female,0,No,No,7,Month-To-Month,Bank transfer,Fiber optic,No,Yes,No,118.75,856.94,No
CUST-13202,Female,0,Yes,No,12,Two Year,Bank transfer,DSL,No,No,No,59.34,725.6,No
CUST-11825,Male,1,No,No,69,Two Year,Mailed check,Fiber optic,No,No,Yes,49.48,3518.16,No
CUST-11332,Male,0,No,No,7,Month-To-Month,Electronic check,DSL,No,No,Yes,46.73,330.27,No
CUST-11876,Male,0,No,No,36,One Year,Electronic check,Fiber optic,No,Yes,No,97.83,3665.8,No
CUST-10241,Male,0,Yes,No,0,Month-To-Month,Mailed check,Fiber optic,No,No,Yes,75.65,0.0,No
CUST-10020,Female,0,Yes,Yes,19,Month-To-Month,Mailed check,Fiber optic,Yes,No,No,104.02,2031.2,No
CUST-12899,Female,1,No,No,23,Two Year,Credit card,No,No internet service,No internet service,Yes,33.29,785.8,No
CUST-13416,Female,1,Yes,Yes,28,One Year,Bank transfer,Fiber optic,No,No,No,82.0,2382.96,No
CUST-14519,Female,0,Yes,No,7,Two Year,Electronic check,DSL,Yes,No,No,59.38,425.72,No
CUST-11234,Female,0,Yes,No,16,One Year,Mailed check,DSL,No,No,Yes,73.63,1206.39,No
CUST-14920,Male,0,No,No,0,Month-To-Month,Bank transfer,DSL,No,No,No,59.27,0.0,No
CUST-10869,Female,0,Yes,No,43,One Year,Mailed check,Fiber optic,Yes,No,Yes,69.63,2923.13,No
CUST-14249,Male,0,Yes,Yes,7,Month-To-Month,Credit card,No,No internet service,No internet service,Yes,18.25,128.36,No
CUST-10285,Male,0,No,No,8,Month-To-Month,Bank transfer,DSL,Yes,No,Yes,56.09,438.32,Yes
CUST-14699,Female,1,No,No,8,One Year,Credit card,DSL,No,No,Yes,58.59,472.78,Yes
